THERMAL ZONE: P1-6-COMMERCE 1-Cooling,THERMAL ZONE: HALL-1-7-Cooling,THERMAL ZONE: HALL-1-6-Cooling,,timestep
23.775724,25.4143,24.005667,,656
24.368164,22.66396,22.461416,,657
23.248135,25.35886,23.47282,,658
24.205091,23.59032,22.248592,,659
24.881748,25.7246,22.912807,,660
24.423136,23.693401,24.897903,,661
24.440363,23.771774,25.618576,,662
25.89812,24.591297,25.676756,,663
23.860394,23.116957,23.90165,,664
23.651703,22.551346,25.675797,,665
22.400644,22.90807,22.389435,,666
22.112164,22.41216,23.494606,,667
25.631578,23.119171,22.617651,,668
24.094982,23.111092,24.943134,,669
22.260555,22.948309,25.48113,,670
22.49732,25.28281,22.724714,,671
22.179527,24.712084,22.339884,,672
23.12405,25.427542,23.997993,,673
24.222689,23.733755,23.906229,,674
24.439144,23.874233,22.421646,,675
25.259872,22.865063,25.502792,,676
24.462284,22.581749,25.430403,,677
24.084198,22.894213,22.391827,,678
23.548521,24.62534,23.44828,,679
24.595552,24.40386,24.395132,,680
22.235004,22.576548,25.418518,,681
24.299923,24.988289,22.892069,,682
22.226648,23.626297,24.226713,,683
25.43357,23.584435,25.470491,,684
22.386543,22.323519,23.246777,,685
24.74251,25.178675,23.65975,,686
22.630003,23.030201,22.302393,,687
25.650797,23.36345,22.70009,,688
25.65841,22.725393,23.467566,,689
22.279179,24.819012,23.927013,,690
22.088337,22.280092,23.221647,,691
23.766306,23.924706,22.964262,,692
25.006865,22.889769,24.025356,,693
24.215305,22.522943,22.555912,,694
23.484547,22.716312,24.785769,,695
24.525883,25.62358,24.753569,,696
23.822664,23.92316,25.127102,,697
25.708376,23.660421,23.381966,,698
25.119448,25.60322,24.245499,,699
25.906546,25.68564,24.725628,,700
22.311447,23.79452,25.500084,,701
22.339005,22.378857,22.378265,,702
25.810627,23.1309,25.649776,,703
23.68565,25.570179,25.709438,,704
22.223965,25.148014,22.659399,,705
23.29517,22.605719,23.776634,,706
23.350445,25.017231,24.30273,,707
22.985209,23.365616,22.699364,,708
24.52845,24.712633,23.517073,,709
22.850142,24.39201,23.450745,,710
23.782572,22.665888,25.46701,,711
22.70961,22.561214,25.358574,,712
24.393314,24.538118,22.325834,,713
25.398256,25.265951,22.617977,,714
24.004353,25.167753,25.086224,,715
24.133392,23.841324,23.290804,,716
22.199621,24.906225,22.487345,,717
24.242905,23.913342,23.096373,,718
24.322918,25.136454,24.825935,,719
25.595427,25.341986,25.456879,,720
25.550508,22.891352,25.361671,,721
24.043245,22.541616,25.541399,,722
25.810253,23.330471,25.44383,,723
23.066778,23.513391,22.406445,,724
22.13647,23.947235,22.372784,,725
25.31183,25.429283,24.413559,,726
24.079126,24.176651,24.407455,,727
22.655392,22.554295,25.371283,,728
22.04889,22.425879,22.405241,,729
22.300611,25.035795,24.07459,,730
23.836956,24.374763,25.718834,,731
22.896908,24.247114,23.75471,,732
22.203236,22.543865,24.911156,,733
22.902203,25.527014,25.54383,,734
25.843136,25.37674,23.956583,,735
22.614178,22.38942,22.47927,,736
22.186287,23.66149,22.281805,,737
24.23823,22.918547,24.785467,,738
24.193584,23.38438,25.579159,,739
22.354898,23.407673,23.645174,,740
23.362396,25.252401,23.989626,,741
23.571344,25.217022,25.514263,,742
24.477852,25.58603,24.553635,,743
25.400272,25.629065,22.693567,,744
24.961058,25.059937,24.994059,,745
25.777796,22.700655,25.52188,,746
25.680319,22.519423,24.046007,,747
