0.796793,0.000006,0.000114,0.002051,0.021680,0.039645,0.002156,0.000166,0.000012,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026807,0.048825,0.026170,0.026537,0.000127,0.000760,0.001358,0.000780,0.000743,0.002435,0.001332,0.001340,0.000137,0.000010,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000006,0.741792,0.040177,0.002007,0.000115,0.000056,0.000162,0.002108,0.020419,0.021371,0.020506,0.002318,0.043243,0.000065,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000065,0.001210,0.000002,0.000002,0.000002,0.000004,0.002481,0.000066,0.000068,0.000123,0.000068,0.000008,0.000011,0.000007,0.000134,0.000762,0.001286,0.002458,0.002463,0.001299,0.000822,0.046179,0.045998,0.000004,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000004,0.000042,0.000074
0.000114,0.040177,0.759620,0.037488,0.002139,0.000993,0.002054,0.020762,0.020834,0.002238,0.001167,0.000129,0.002344,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000066,0.000035,0.000037,0.000035,0.000063,0.046889,0.001240,0.001265,0.002305,0.001270,0.000122,0.000153,0.000098,0.001342,0.001890,0.001892,0.001357,0.000200,0.000074,0.000046,0.002501,0.047047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000004
0.002051,0.002007,0.037488,0.692042,0.039465,0.017413,0.018913,0.018996,0.001968,0.000163,0.000061,0.000007,0.000117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000610,0.000651,0.000623,0.001103,0.042914,0.022891,0.023349,0.042559,0.023440,0.001615,0.001659,0.001165,0.002230,0.001196,0.000710,0.000125,0.000013,0.000004,0.000002,0.000125,0.002323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.021680,0.000115,0.002139,0.039465,0.776742,0.019459,0.002058,0.001134,0.000115,0.000009,0.000003,0.000000,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001304,0.001886,0.001302,0.001821,0.002447,0.026158,0.047621,0.025918,0.025538,0.001225,0.000714,0.000690,0.000188,0.000071,0.000042,0.000007,0.000001,0.000000,0.000000,0.000007,0.000133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.039645,0.000056,0.000993,0.017413,0.019459,0.677095,0.036360,0.002350,0.000149,0.000010,0.000002,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022430,0.022906,0.022966,0.041671,0.001083,0.001169,0.001691,0.001631,0.001167,0.041571,0.022726,0.022875,0.002277,0.000145,0.000082,0.000009,0.000001,0.000000,0.000000,0.000003,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002156,0.000162,0.002054,0.018913,0.002058,0.036360,0.741519,0.039176,0.002102,0.000120,0.000010,0.000001,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001205,0.001232,0.001234,0.002239,0.001233,0.000657,0.000697,0.001193,0.000671,0.024682,0.045422,0.024941,0.045923,0.002406,0.001347,0.000131,0.000008,0.000001,0.000000,0.000010,0.000130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000166,0.002108,0.020762,0.018996,0.001134,0.002350,0.039176,0.741588,0.039312,0.002211,0.000170,0.000013,0.000126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000079,0.000081,0.000081,0.000145,0.002339,0.000630,0.000644,0.001170,0.000645,0.001330,0.002413,0.001331,0.045927,0.045528,0.025463,0.002443,0.000140,0.000011,0.000006,0.000131,0.001345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,0.020419,0.020834,0.001968,0.000115,0.000149,0.002102,0.039312,0.741730,0.041193,0.002683,0.000186,0.001251,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000035,0.000005,0.000005,0.000005,0.000009,0.001341,0.000065,0.000067,0.000121,0.000067,0.000073,0.000130,0.000072,0.002436,0.025467,0.045536,0.046054,0.002581,0.000166,0.000097,0.001275,0.002427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000002
0.000001,0.021371,0.002238,0.000163,0.000009,0.000010,0.000120,0.002211,0.041193,0.778953,0.041208,0.002416,0.002412,0.000068,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000067,0.000000,0.000000,0.000000,0.000001,0.000141,0.000005,0.000005,0.000010,0.000006,0.000004,0.000007,0.000004,0.000137,0.001416,0.002530,0.048244,0.048245,0.002538,0.001457,0.001399,0.001389,0.000004,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000004
